Station	Year	Annual
56037	1998	880.8
56238	1998	887.4
56037	1999	901
56238	2000	813.4
56037	2001	677.8
56238	2001	616.8
56037	2002	651.6
56238	2002	578.4
56037	2003	790.6
56238	2003	698.2
56037	2004	834.4
56238	2004	853.2
56037	2005	764.4
56238	2005	782.4
56037	2006	619.2
56238	2006	620.8
56037	2007	838.8
56238	2007	907.8
56037	2008	767.4
56238	2008	724.8
56037	2009	816.4
56238	2009	795.4
56037	2010	823.2
56238	2010	865.8
56037	2011	1048
56238	2011	1060.4
56037	2012	597.2
56238	2012	608.6
56037	2013	636.4
56238	2013	681.8
56037	2014	537
56238	2014	549.8
56037	2015	621.6
56238	2015	653.6
56037	2016	780.6
56238	2016	899.2
56037	2017	765.2
56238	2017	817.8
56037	2018	552.6
56238	2018	638.4
56037	2019	306.6
56238	2019	315.2
56037	2020	972.8
56238	2020	1063.4
56034	1998	930.3
56034	1999	847.9
56034	2000	751.8
56034	2001	682.9
56034	2002	602.7
56034	2003	807.6
56034	2004	812.4
56034	2005	765.5
56034	2006	588.1
56034	2007	969.6
56034	2008	748.7
56034	2009	638.1
56034	2010	944.5
56034	2011	658.2
56034	2012	672.6
56034	2013	485.2
56034	2014	409.8
56034	2015	587.8
56034	2017	666
56034	2018	399.8
56034	2019	192.2
56034	2020	886
56065	1998	866.4
56065	1999	881.8
56065	2000	765.2
56065	2002	568.6
56065	2003	708.3
56065	2004	845.4
56065	2005	785.4
56065	2006	621
56065	2007	814
56065	2009	793.6
56065	2010	853.2
56065	2011	1049
56065	2012	606.8
56065	2013	653.6
56065	2014	665.7
56065	2015	619.2
56065	2016	750.4
56065	2017	838.2
56065	2018	744.2
56065	2019	265.8
56065	2020	953
57091	1998	871.9
57091	1999	1155.6
57091	2000	921
57091	2003	779.7
57091	2004	952
57091	2005	838.3
57091	2009	1263.9
57091	2011	1397.4
57091	2012	1005.4
57091	2013	1036.2
57091	2014	693.3
57091	2015	851.2
57091	2016	866.6
57091	2019	271
57091	2020	1047
56028	2000	840.6
56028	2005	866.2
56028	2008	694.7
56028	2009	752.1
56028	2010	935.3
56028	2011	811.3
56028	2012	627.8
56028	2013	597.8
56028	2014	653.8
56028	2015	660.6
56028	2016	810.1
56028	2017	801.3
56028	2018	498.9
56028	2019	246.2
56028	2020	984.8
