Sample	INLET	EXH	AIRFLOW	HEATRATE
1	1134	602	7	14622
2	950	446	15	13196
3	1149	537	20	11948
4	1024	478	27	11289
5	1149	553	29	11964
6	1172	517	176	10526
7	1177	510	193	10387
8	1146	503	315	10592
9	1146	524	375	10460
10	1171	525	514	10086
11	1038	525	11	14628
12	1038	523	25	13396
13	1232	571	19	11726
14	1077	482	47	11252
15	963	485	123	12449
16	1135	542	144	11030
17	1113	534	295	10787
18	1124	541	410	10603
19	1204	553	515	10144
20	1177	521	27	11674
21	1135	526	56	11510
22	1149	514	172	10946
23	1141	526	362	10508
24	1149	544	354	10604
25	1177	525	378	10270
26	1116	511	448	10529
27	1149	537	500	10360
28	899	512	7	14796
29	916	444	19	12913
30	1054	517	19	12270
31	1093	513	22	11842
32	1121	490	27	10656
33	1066	464	39	11360
34	1104	487	42	11136
35	1121	493	49	10814
36	960	517	158	13523
37	1079	515	311	11289
38	1041	490	400	11183
39	1057	479	26	10951
40	1288	546	120	9722
41	1288	590	204	10481
42	1327	599	448	9812
43	1371	626	445	9669
44	1327	599	648	9643
45	1427	566	685	9115
46	1427	621	685	9115
47	1271	556	49	11588
48	1271	556	88	10888
49	1343	607	453	9738
50	1427	596	567	9295
51	1343	586	651	9421
52	1427	587	737	9105
53	1288	531	188	10233
54	1310	589	187	10186
55	1288	551	425	9918
56	1343	577	440	9209
57	1349	590	450	9532
58	1260	585	510	9933
59	1427	594	550	9152
60	1316	584	642	9295
61	888	513	3	16243
62	1004	561	4	14628
63	1066	532	8	12766
64	1288	448	152	8714
65	1160	456	84	9469
66	1232	560	14	11948
67	1077	536	20	12414
