ID,X3,X4,X5,X6,X11,X12,X13,X14,X15,Y
1,18.4,4,289,379,3,44.5,0.99,1.09,11.11,9.6
2,23.2,3.1,288,380,3,45,0.99,1.09,11.11,6.4
3,17.9,3.8,422,372,3,48.4,1.89,1.22,9.11,4.2
4,16.5,4.9,476,363,2.5,46,1.67,1.09,9.02,3.8
5,16.4,2.4,322,375,3,43.1,0.72,2.6,8.92,5.2
6,16.5,3.1,372,274,3,44.2,0.93,1.58,6.09,3.8
7,17.1,3.4,320,343,2.7,41.1,1.98,1.28,9.8,5.4
8,19.3,4.2,459,368,2.5,39,0.66,1.42,9.01,5
9,21,3.9,328,368,3.5,43.4,1.02,1.07,12.31,5.5
10,26.6,3.3,318,415,2.3,37.1,1.6,1.09,8.52,5.7
11,19.3,5.1,458,368,3.5,47,0.66,1.42,9.01,5.4
12,17.9,6.6,461,366,3,63,1.49,0.84,8.76,4.7
13,15.8,2.3,306,364,2.5,34.4,1.15,0.98,11.57,5.5
14,23.8,2.63,322,367,2,33.2,0.99,1.07,10.15,3.07
15,16,3.4,405,357,3,70.1,0.97,1.41,7.21,5.95
16,14.6,2,335,351,2.5,24.6,2.1,2.15,8.28,3.5
17,15,1.7,335,351,3,28.6,2.1,2.15,8.28,2.9
18,16.8,3.7,297,370,3,42.3,1.68,2.17,13.4,7.3
19,20.3,5,423,372,3,51.2,1.89,1.22,9.11,5
20,27.7,4.2,424,359,3,62,1.91,1.57,9.96,3.7
21,16.3,2.5,373,274,3.5,49.1,0.93,1.58,6.15,1.9
22,26,5.4,405,321,4.3,63.1,0.97,1.41,7.21,4.6
23,17.1,2.55,326,356,4,56.7,3.59,2.56,9.11,4.8
24,18.7,3.4,304,354,4,43.2,0.86,1.53,13.78,7.6
25,16.7,2.3,372,279,3,43.3,0.93,1.58,6.09,2.7
26,17.3,3.7,326,368,3.5,39.5,1.02,1.06,12.3,6.7
27,19.8,4.4,300,366,3,52.8,0.81,1.84,14.3,8.5
28,25.5,3.2,402,273,3.5,38.6,0.96,1.18,6.14,3.7
29,13.6,2.46,323,366,3,45.1,0.99,1.07,10.15,4.23
30,21.3,3.7,331,374,3.5,48.5,1.51,1.63,11.56,6.2
31,14.7,2.3,352,346,3.7,55.1,1.32,1.84,8.56,5.4
32,18.9,3.1,438,371,2.5,40.3,0.89,1.14,7.35,6.1
33,17.3,1.6,281,353,3.5,52.7,2.39,2.98,10.05,6.5
34,16.1,2.8,281,353,3.5,48.1,2.39,2.98,10.05,6
35,16.3,2.6,322,369,2,25.5,1.02,1.06,12.3,6.6
36,19.1,3.8,418,372,2.5,41.2,1.89,1.22,9.11,4.1
37,16,3.4,378,278,3.5,53.1,0.93,1.58,6.04,3.6
38,17.5,4.3,300,365,3,49.4,0.81,1.84,14.3,7.7
39,15.6,2.2,297,373,4,60.5,1.8,2.54,8.43,4.4
40,15.7,3.1,284,353,3.5,52.8,2.39,2.98,10.05,5.19
41,27.5,3.7,281,358,3,41.7,2.36,2.98,10.01,5.7
42,14.8,1.8,325,372,2.5,24,0.96,2.13,9.32,3.8
43,16.6,4.1,473,371,2.5,37.2,0.72,1.49,9.77,5.5
44,17.3,5.1,296,365,2.3,49.8,0.81,1.84,14.3,10.6
45,16.4,4,303,352,3,52.2,1.53,2.27,12.85,6.8
46,28.9,2.4,305,300,2.7,40.9,1.69,0.81,9.98,2.5
47,14.2,3,305,364,3.5,38,1.15,0.98,11.57,7.5
48,15.5,3.3,318,366,2.5,33.6,0.99,1.07,10.15,5.29
49,16.3,2.9,395,279,3,42.7,0.93,1.58,6.09,3.3
50,15.4,1.8,374,273,3,27.4,0.96,1.18,6.14,4
51,19.1,2.25,332,349,3,41.9,3.62,2.63,9.14,3.3
52,16.2,2.8,318,375,4,57.9,0.72,2.6,8.92,5
53,16.4,3.1,312,364,3.5,37.4,1.15,0.98,11.57,6
54,15.4,2.4,370,279,3.5,48.1,0.93,1.58,6.09,2.7
55,18.2,3.4,416,359,2.5,55,1.91,1.57,9.96,2.8
56,17,3.79,321,366,3,29.6,0.99,1.07,10.15,6.45
57,18.4,2.1,324,372,3,33.4,0.96,2.13,9.32,3.3
58,18.6,3.71,285,353,4,60,1.05,1.7,11.9,6.43
59,15.2,2.2,372,279,3,43.3,0.93,1.58,6.09,2.5
60,15.2,3.8,464,371,2.5,32.8,0.72,1.49,9.77,5.2
61,16.6,5,460,368,2.5,44.6,0.66,1.42,9.01,5.1
