Whistle,Duration,Center_Freq,Low_Freq,Delta_Freq,Max_Freq,Inflections
Concave,0.761,11197.3,7289.3,14760.7,9302.3,1
Concave,1.074,9302.3,3150,18900,3273,1
Concave,1.006,8096.5,1457.9,20592.1,3445.3,1
Concave,1.004,12403.1,7836,14214,11197.3,1
Concave,0.851,11197.3,5573.1,16476.9,11369.5,1
Concave,1.077,10335.9,4627.8,17422.2,4651.2,1
Concave,0.943,12575.4,3180.3,18869.7,12747.7,1
Concave,0.18,13781.2,10387.2,8564.9,10680.5,1
Concave,0.135,13609,9776.9,12273.1,13781.2,1
Concave,0.211,13609,9658.3,10751.7,12919.9,1
Concave,0.511,14814.8,8382.6,13667.4,11714.1,1
Concave,0.579,10852.7,8200.4,12574,8441,1
Concave,0.173,13436.7,12307,7691.9,13092.2,1
Concave,0.216,14125.8,11281.4,10768.6,14298,1
Concave,0.483,12058.6,8717.4,13332.6,11886.3,1
Concave,1.366,11714.1,8564.9,13485.1,13609,1
Concave,0.263,10335.9,9111.6,7471.5,9991.4,1
Concave,0.734,9991.4,6560.3,15489.7,9302.3,1
Concave,0.906,10508.2,4920.2,17129.8,9646.9,1
Concave,0.906,10163.7,3234,18816,9474.6,1
Concave,0.992,9130.1,1378.1,20671.9,2411.7,1
Concave,0.793,9646.9,3462.4,16583.1,8613.3,1
Concave,0.104,12058.6,9658.3,6378.1,11886.3,1
Concave,0.155,10680.5,7653.7,6195.9,10508.2,1
Concave,0.399,13953.5,11662.8,8018.2,14470.3,1
Concave,0.162,10163.7,6924.8,8340.6,9819.1,1
Concave,0.123,11541.8,8370.8,10412.5,11025,1
Concave,0.216,13436.7,10205,8747.1,13264.5,1
Concave,0.173,15331.6,12209.5,7471.5,15503.9,1
Concave,0.769,15676.2,9111.6,12574,17398.8,1
Concave,0.249,13092.2,11662.8,9840.5,12403.1,1
Concave,0.463,14987.1,14214,7653.7,14642.6,1
Concave,0.206,13781.2,11366,8865.5,14125.8,1
Concave,0.682,14470.3,12143.5,8308.7,14298,1
Concave,0.785,12747.7,8382.6,13667.4,13264.5,1
Concave,0.64,13264.5,9984.9,12065.1,10508.2,1
Concave,1.037,13092.2,7471.5,14578.5,7579.7,1
Concave,0.778,10680.5,4050,18000,8096.5,1
Concave,0.544,11369.5,9111.6,6560.3,13092.2,1
Concave,0.589,12575.4,9486.6,7691.9,12575.4,1
Concave,0.184,12919.9,12216.9,9833.1,12747.7,1
Concave,1.215,10335.9,6533.3,15516.7,9130.1,1
Concave,0.563,10508.2,6378.1,9840.5,10335.9,1
Concave,0.759,9130.1,2791.1,17584.2,2928.5,1
Concave,0.858,11025,6560.3,12027.3,11197.3,1
Concave,0.894,11714.1,6549.5,13754,14987.1,1
Concave,0.528,12230.9,10022.7,12027.3,11714.1,1
Concave,0.81,8441,5284.7,9840.5,7924.2,1
Concave,2.249,10335.9,4752.2,17297.8,10163.7,1
Concave,0.474,9474.6,4255.3,17794.7,6201.6,1
Concave,0.724,11714.1,7432.6,14617.4,8613.3,1
Concave,0.637,10508.2,6401.6,13158.9,11714.1,1
Concave,0.336,11197.3,8564.9,13302.9,9819.1,1
Concave,0.311,13953.5,9476,12574,13609,1
Concave,0.465,11714.1,9293.8,12756.2,10852.7,1
Concave,0.615,11369.5,4191.3,17858.7,6201.6,1
Concave,0.38,12403.1,7624.8,14425.2,8957.8,1
Concave,0.525,12919.9,8820,13230,8957.8,1
Concave,0.405,15159.4,12158.4,9891.6,12230.9,1
Concave,0.973,11369.5,6742.6,15307.4,7407.4,1
Concave,0.722,10163.7,4725,16800,9130.1,1
Concave,0.687,10335.9,6501.9,14982.7,6546.1,1
Concave,0.861,12058.6,7200,14850,7407.4,1
Concave,0.748,11025,7257,11443.7,7407.4,1
Concave,0.661,11197.3,6300,12250,13264.5,1
Concave,0.742,12230.9,6742.6,15307.4,16365.2,1
